"symbol","name","issuer","asset_class","category","sector","theme","role_in_ai_sleeve","offense_defense","primary_use","universe_status","include_in_active_universe","agent_affinity","agent_concern","expense_ratio","expense_ratio_source","expense_ratio_as_of_date","liquidity_tier","aum_or_liquidity_note","trend_candidate","value_candidate","quality_candidate","macro_theme_candidate","defensive_candidate","cash_buffer_candidate","nisa_eligible_status","nisa_usage_policy","preferred_account","rakuten_available","sbi_available","monex_available","nomura_available","broker_availability_note","needs_order_screen_check","expected_overlap_with_core","core_overlap_reason","main_risks","required_checks","entry_checks","avoid_entry_conditions","invalidation_conditions","data_quality_status","source_urls","notes"
"ITA","iShares U.S. Aerospace & Defense ETF","iShares","equity","Aerospace / Defense","industrials","defense","防衛・航空宇宙の高流動性本命","offense","structural_theme","active_core","true","druckenmiller;buffett;paul_tudor_jones","howard_marks","0.38%","issuer","2026-03-31","high","$13.5bn級。GE/RTX/Boeingの集中が大きい","true","false","false","true","false","false","unknown","avoid_rotation","taxable","unknown","unknown","unknown","unknown","主要証券会社では取扱い可能性が高いが公開確認は不足、注文画面確認","true","low","防衛は既存S&P500/NASDAQ100の主因と異なる","単一テーマ、政府予算、上位集中","上位集中、防衛予算/受注、トレンド","地政学テーマ・政策継続・価格トレンド維持","ニュースだけで急騰した直後","受注/予算テーマが後退しトレンドも崩れる時","needs_broker_check","https://www.ishares.com/us/products/239502/ishares-us-aerospace-defense-etf","100万円枠でテーマを1本に絞るなら候補上位"
"CIBR","First Trust NASDAQ Cybersecurity ETF","First Trust","equity","Cybersecurity","technology","cybersecurity","AI普及の裏側で需要増が続きやすい防御的テック","offense","theme_sector","active_core","true","druckenmiller;buffett;core_ai_auditor","howard_marks","0.58%","issuer","2026-02-02","high","$13.9bn級・売買活発。テーマETFでは実用域","true","false","false","true","false","false","unknown","avoid_rotation","taxable","confirmed","unknown","unknown","unknown","楽天の新規取扱い告知で確認。その他は注文画面確認","true","moderate","テック色はあるがソフト/セキュリティ側でコアとやや差別化","テーマ人気の反動、費用率、相場センチメント","上位銘柄重複、費用率許容、ブローカー可否","相対強度、サイバー需要ニュース、200日線","高PERテーマへ資金集中し過熱した直後","テーマ失速・相対弱化","needs_broker_check","https://www.ftportfolios.com/retail/etf/etfsummary.aspx?Ticker=CIBR","テーマETFの中ではAUM/流動性が十分で使いやすい"
"XLE","Energy Select Sector SPDR Fund","State Street / SPDR","equity","Energy / Resources","energy","oil_gas","景気・インフレ・地政学ヘッジを兼ねる高流動性エネルギー枠","offense","sector_tilt","active_core","true","druckenmiller;paul_tudor_jones;rob_arnott","howard_marks","0.08%","issuer","2026-06-04","very_high","$40bn級。Exxon/Chevronで約4割","true","true","false","true","false","false","unknown","avoid_rotation","taxable","unknown","unknown","unknown","unknown","主要証券会社で取扱いが一般的だが公開実確認は注文画面前提","true","low","既存テックコアとセクター相関が低め","原油価格依存、XOM/CVX集中、景気敏感","原油・ガス価格、集中度、相対強度","エネルギー相対強度改善、インフレ/地政学の追い風","景気後退と原油下落が同時進行","エネルギー株のトレンド崩壊","sufficient","https://www.ssga.com/us/en/intermediary/etfs/state-street-energy-select-sector-spdr-etf-xle","コアとの重複回避に有効だが、上位集中は大きい"
"PAVE","Global X U.S. Infrastructure Development ETF","Global X","equity","Infrastructure / Industrials","industrials_materials","infrastructure_buildout","データセンター・電力・輸送・建設の広い受け皿","offense","structural_theme","active_core","true","druckenmiller;buffett;core_ai_auditor","howard_marks","0.47%","issuer","2026-06-04","high","$13.8bn級・100銘柄。Quanta/Eaton等が上位","false","false","false","true","false","false","unknown","avoid_rotation","taxable","unknown","unknown","unknown","unknown","証券会社の公開確認が十分でないため注文画面確認を必須化","true","low","設備・建設・輸送が主で既存大型ITコアとは別物","景気敏感、政策失望、費用率","ブローカー可否、景気循環、上位銘柄","インフラ/電力CAPEX拡大、相対強度、200日線","景気失速と設備投資縮小懸念が強い時","テーマの主要KPI（電力/建設/設備投資）が崩れる時","needs_broker_check","https://www.globalxetfs.com/funds/pave/","AIデータセンター拡張の“現場側”を取りにいく手段"
"USMV","iShares MSCI USA Min Vol Factor ETF","iShares","equity","Low Volatility","minimum_volatility","","株式を持ちながらボラを抑える守りの株式枠","defense","defensive_equity","active_core","true","howard_marks;aqr_meb;core_ai_auditor","druckenmiller","unknown","needs fee check","2026-06-06","high","米国低ボラETFの主力級。AUM/費用の最終確認を要する","false","false","false","false","true","false","unknown","core_long_term_only","either","unknown","unknown","unknown","unknown","公開確認不足。注文画面確認を前提","true","moderate","米国株内に留まるが、セクター構成がコアと異なる","上昇相場で取り残される、金利感応度、データ未確認項目","費用・AUM・ブローカー可否","ボラ上昇期・守り強化局面","強いリスクオンで景気敏感が優位な局面","守りの役割を果たせないドローダウンが続く時","needs_fee_check","https://www.ishares.com/us/products/239695/ishares-msci-usa-minimum-volatility-etf","守りの株式枠として有力だが、注文前に最新費用を再確認"
"MTUM","iShares MSCI USA Momentum Factor ETF","iShares","equity","Momentum / Trend","momentum_factor","","ルールベースのトレンド確認用。AQR/PTJ型の監視軸に合う","offense","trend_factor","active_core","true","aqr_meb;paul_tudor_jones","howard_marks;rob_arnott","0.15%","issuer","2026-03-31","high","$20.2bn級。モメンタムETFでは大型","true","false","false","false","false","false","unknown","avoid_rotation","taxable","unknown","unknown","unknown","unknown","主要ネット証券での最終可否は注文画面確認","true","high","上昇中の大型テックへ自然に寄りやすい","回転が速い、逆回転、コアとの重複","回転率、上位銘柄、コア重複","価格>200日線、相対強弱、過熱度","パラボリック上昇直後","200日線割れ・相対モメンタム崩壊","sufficient","https://www.ishares.com/us/products/251614/ishares-msci-usa-momentum-factor-etf","AI枠なら“採用時点のトレンド検証”に向く。長期放置よりレビュー頻度を高める"
"XLU","Utilities Select Sector SPDR Fund","State Street / SPDR","equity","Power / Grid / Utilities","utilities","power_infrastructure","AI電力需要・ディフェンシブ・配当の交点。電力インフラ本命","defense","structural_theme_plus_defense","active_core","true","howard_marks;druckenmiller;buffett","rob_arnott","0.08%","issuer","2026-06-04","very_high","$22bn級。NextEra/Southern/Duke等に集中","false","false","false","true","true","false","unknown","core_long_term_only","either","confirmed","confirmed","unknown","confirmed","楽天/SBI/野村の公開ページで確認。Monexは最終注文画面確認","true","low","公益は既存ITコアと業種が大きく異なる","金利感応度、規制リスク、上位集中","上位集中、金利動向、公益バリュエーション","AI電力需要テーマ継続・200日線・ディフェンシブ需要","長期金利急騰と公益株全面逆風が重なる時","AI/電力需要テーマが鈍化し、金利だけが逆風になる時","sufficient","https://www.ssga.com/us/en/intermediary/etfs/state-street-utilities-select-sector-spdr-etf-xlu","AIテーマを“半導体以外”で取りにいく代表格"
"QUAL","iShares MSCI USA Quality Factor ETF","iShares","equity","Quality","quality_factor","","高収益・低負債・安定利益の品質因子。過度なテーマ依存を避ける基盤","mixed","factor_core","active_core","true","buffett;aqr_meb;core_ai_auditor","rob_arnott","0.15%","issuer","2026-03-31","very_high","$46.5bn級。品質ファクターとして大型","false","false","true","false","true","false","unknown","core_long_term_only","either","unknown","confirmed","unknown","unknown","SBI公開検索を確認。その他は注文画面で要確認","true","high","大型高品質銘柄に寄るため米国メガキャップとの重複が出やすい","メガキャップ偏在、割高化、成長株色の残存","上位10銘柄集中度、既存コアとの重複","QUAL/VOO相対、200日線、ディフェンシブ性の必要度","既に大型テック比率が高い時","品質因子より単なるメガキャップ再購入に近づいた時","sufficient","https://www.ishares.com/us/products/256101/ishares-msci-usa-quality-factor-etf","品質因子だが“隠れハイテク再投資”化しやすい点に注意"
"MOAT","VanEck Morningstar Wide Moat ETF","VanEck","equity","Quality / Smart Beta","wide_moat","","競争優位×バリュエーションの折衷。Buffett/Arnottの接点として使いやすい","mixed","quality_value_blend","active_core","true","buffett;rob_arnott","core_ai_auditor","0.46%","issuer","2026-06-04","high","$11.7bn級。費用はファクターETFとして高め","false","true","true","false","false","false","confirmed","core_long_term_only","either","unknown","unknown","unknown","confirmed","野村の特化ETF一覧で確認。その他は注文画面確認","true","moderate","大型株中心だが指数思想がS&P500/QQQと異なる","費用率、指数組替え、銘柄集中","費用許容、上位10集中度、コア重複","割高感・モメンタム・テーマ偏重の抑制目的があるか","低コスト最優先の場合","費用対効果が低下した時","sufficient","https://www.vaneck.com/us/en/investments/morningstar-wide-moat-etf-moat/","低コストではないが、設計思想はAI枠の“違う勝ち筋”として有効"
"AVUV","Avantis U.S. Small Cap Value ETF","Avantis Investors","equity","Value / Small Cap Value","small_cap_value","","既存大型グロース偏重の逆サイドを持つ補完ファクター","offense","factor_diversifier","active_core","true","rob_arnott;aqr_meb;buffett","howard_marks","0.25%","issuer","2026-01-01","high","$27.9bn級。小型バリューETFとしては十分大きい","false","true","false","false","false","false","unknown","avoid_rotation","taxable","unknown","unknown","confirmed","confirmed","Nomura個別ページ、Monex検索スニペットで確認。ネット証券は要注文画面確認","true","low","既存S&P500/NASDAQ100とサイズ・ファクターが大きく異なる","小型株ドローダウン、景気敏感、バリュー不発","流動性・スプレッド、既存小型株エクスポージャー","200日線/相対強弱/バリュースプレッド改善","景気後退深掘り局面で小型株全般が崩れる時","小型価値プレミアムの役割が消えるほど重複が増えた時","sufficient","https://www.avantisinvestors.com/avantis-investments/avantis-us-small-cap-value-etf/","AI枠で最も“コア重複回避”しやすい補完候補の一つ"
"BOTZ","Global X Robotics & Artificial Intelligence ETF","Global X","equity","AI / Robotics / Automation","robotics_ai","robotics_automation","ロボティクス・自動化の純テーマ候補","offense","theme_idea","research","false","druckenmiller","core_ai_auditor;howard_marks","0.68%","issuer","2026-06-04","medium","テーマ性は高いが費用は高め","true","false","false","true","false","false","unknown","avoid_rotation","taxable","unknown","unknown","unknown","unknown","公開ブローカー確認不足。注文画面確認","true","moderate","AI/半導体・大型技術株に寄る可能性","高コスト、テーマ過熱、実質重複","費用許容、上位構成・重複","明確な自動化テーマ追い風","“AIだから”だけで採用する場合","テーマの優位性がSMH/CIBR/PAVEより劣る時","needs_broker_check","https://globalxetfs.co.jp/en/funds/botz/","AI枠では“わかりやすいが後回し”"
"SRVR","Pacer Data & Infrastructure Real Estate ETF","Pacer ETFs","equity","AI / Robotics / Automation","data_infrastructure_reit","data_centers","データセンター・通信塔・デジタル不動産の間接AIインフラ","offense","niche_theme","research","false","druckenmiller;core_ai_auditor","howard_marks","0.49%","secondary","2026-06-05","medium","約$0.4bn級。EQIX/DLR/AMT集中","true","false","false","true","false","false","unknown","avoid_rotation","taxable","unknown","unknown","unknown","unknown","公開ブローカー確認不足。注文画面確認","true","low","データセンターREITで既存コアと業種が異なる","規模小、金利感応度、REIT固有リスク","流動性・スプレッド・REIT性質","金利安定・データセンター需要増","長期金利急騰局面","REIT・金利・電力コスト逆風が重なる時","needs_liquidity_check","https://www.paceretfs.com/products/srvr","コンセプトは良いが、100万円枠ではサイズと金利感応度が課題"
"SCHD","Schwab U.S. Dividend Equity ETF","Schwab Asset Management","equity","Dividend / Defensive Equity","dividend_equity","","高品質高配当の守り寄り株式。現金創出力重視","defense","income_quality","research","false","buffett;howard_marks;core_ai_auditor","druckenmiller","0.06%","issuer","2026-06-04","very_high","$95.9bn級。費用の低さが魅力","false","true","true","false","true","false","unknown","core_long_term_only","either","unknown","unknown","unknown","unknown","主要証券会社での最終取扱は注文画面確認","true","moderate","大型株中心だが高配当フィルタでコアと少しずれる","景気敏感高配当偏り、金利・金融セクターの影響","セクター偏り・増配継続性","守り強化局面・バリュー優位","景気敏感配当株が一斉に買われた後","増配/品質の優位が崩れる時","sufficient","https://www.schwabassetmanagement.com/products/schd","魅力は高いが、AI枠では守りをUSMV/XLU/GLDMとどう配分するかの整理が必要"
"VIG","Vanguard Dividend Appreciation ETF","Vanguard","equity","Dividend / Defensive Equity","dividend_growth","","増配継続企業で守りと質を取る候補","defense","dividend_growth","research","false","buffett;howard_marks","druckenmiller","0.04%","issuer","2026-05-28","very_high","$108.6bn級。大型・低コスト","false","false","true","false","true","false","confirmed","core_long_term_only","either","confirmed","unknown","unknown","confirmed","楽天告知と野村NISA一覧で確認。その他は注文画面確認","true","moderate","大型株中心だが増配条件でNASDAQ100よりは分散","大型株比率、上昇相場の取り残し","既存コアとの大型株重複","長期保有前提・NISA適合性","短期rotation用途","増配品質の魅力が薄れた時","sufficient","https://investor.vanguard.com/investment-products/etfs/profile/vig","NISA向きだが、AI検証枠の主戦場は特定口座という前提なら優先は一段下げる"
"NLR","VanEck Uranium and Nuclear ETF","VanEck","equity","Energy / Uranium / Resources","nuclear_energy","nuclear_uranium","原子力・ウランを一体で取るマクロテーマ枠","offense","macro_theme","research","false","druckenmiller;rob_arnott","howard_marks;core_ai_auditor","0.52%","issuer","2026-06-04","medium","$4.9bn級・約29銘柄。テーマとしては十分","true","false","false","true","false","false","unknown","avoid_rotation","taxable","unknown","unknown","unknown","unknown","ブローカー公開確認不足。注文画面確認","true","low","公益・ウラン・原子力バリューチェーンで既存ITコアと別物","政策/規制、テーマ変動、費用","ブローカー可否、政策動向、上位集中","原子力政策・電力需給・価格トレンド","ウラン価格急騰後の追随買い","テーマの政策支援後退・相対弱化","needs_broker_check","https://www.vaneck.com/us/en/investments/uranium-nuclear-energy-etf-nlr/","電力需要テーマと整合的だが、単独テーマとしてのボラは高い"
"IGF","iShares Global Infrastructure ETF","iShares","equity","Infrastructure / Industrials","global_infrastructure","infrastructure","PAVEより地域分散の効いたインフラ代替","mixed","fallback_infrastructure","research","false","buffett;howard_marks","druckenmiller","unknown","needs fee check","2026-06-06","medium","グローバル分散型。費用・流動性の最新確認が必要","false","false","false","true","true","false","unknown","core_long_term_only","either","unknown","unknown","unknown","confirmed","野村の特化ETF一覧で確認。その他は注文画面確認","true","low","インフラ・公益・輸送が中心でコアと差異大","費用未確認、海外公益/規制、為替","費用・AUM・通貨分散","分散重視でPAVEより国際化したい時","米国インフラ単独テーマを明確に取りたい時","役割がPAVEと重複しすぎた時","needs_fee_check","https://www.ishares.com/us/products/239746/ishares-global-infrastructure-etf","research止まり。PAVEの代替候補"
